mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,mfcc21_mean,mfcc22_mean,mfcc23_mean,mfcc24_mean,mfcc25_mean,mfcc26_mean,mfcc27_mean,mfcc28_mean,mfcc29_mean,mfcc30_mean,mfcc31_mean,mfcc32_mean,mfcc33_mean,mfcc34_mean,mfcc35_mean,mfcc36_mean,mfcc37_mean,mfcc38_mean,mfcc39_mean,mfcc40_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,zcr_mean,energy_mean,label
-371.4269868925133,55.49360205736376,-4.135188599930506,8.851388548617013,3.727864937750155,-4.131889183620639,-8.179884131880826,-8.029020078326182,-16.532314802881753,-7.481831741937825,-3.3353605685050076,-7.4467935806583,-1.8228903941558967,-7.942821306080263,-3.2073548373296017,-2.6771433602996075,-7.862406416404258,-5.272463805358701,-4.522154679617901,-3.916984618113041,-9.2853556508946,-3.1374236504577278,-4.992505172113372,-7.237990311399081,-3.9547058455304267,-2.8553293414263305,-7.148600279259026,-1.377651390194256,-3.8798195869882313,-1.2192586651024513,-3.484469050914221,-3.4485720953462584,-3.976625068307058,-2.894502472334155,-4.286166938712517,-2.3536715073228445,-1.7509288607684839,-2.40224627758363,-4.214845294612299,-1.9711088181702021,0.5244078176214196,0.5194115760499706,0.5041744324380012,0.5125402050563006,0.47842329599455524,0.4623783032668967,0.48658106666130124,0.5174109187186158,0.5203800796323507,0.49907796229228013,0.48806657347242854,0.4715282768097257,0.10037184495192308,0.009928409411759851,neutral
-378.4088992576324,55.456807921370064,-7.513168348205836,12.07395299277553,4.205125541795872,-5.58719129333942,-6.805171727119278,-11.007681059499827,-17.88346930305236,-6.369394472792397,-3.8100777209943324,-7.536217937033455,-3.3405852683210853,-7.933524249954842,-4.272921647875278,-3.482892443760631,-8.739522270130408,-4.62148396031602,-5.47695502792829,-2.5361838005715773,-8.996037632892408,-3.7377954510403093,-4.819340032189723,-7.67233795720193,-3.0053819285597525,-3.9852630051949878,-7.343382127280676,-0.45704325035983445,-4.312634500767937,-1.4460230887101604,-3.1151711808299614,-4.342869206858944,-3.6288886700467375,-3.861392151814707,-4.364222932111231,-1.8018913459320682,-2.236668298035639,-4.131675491038595,-4.180506144479164,-3.101238489095811,0.43529349105002474,0.4602257848303695,0.4400822818374294,0.41935515358442116,0.429942255418371,0.4194842998745993,0.4090395213060401,0.44318231521924384,0.46056253289415494,0.4632380420449713,0.44902571582611345,0.4085290502131759,0.08004056490384616,0.008700944857095749,neutral
-403.0748535429648,57.396023971426416,-5.190720929650692,9.62955375624665,0.8875017470221328,-3.4930177762857024,-6.832915429299665,-10.237353123560263,-15.456891829500329,-8.110903203392422,-3.4479802524932888,-7.048490762999474,-1.8669023381488257,-7.437677855257252,-5.7527751189895495,-2.4676864850832816,-8.692230447615561,-6.53702354123383,-2.935911754970739,-2.76874741400155,-8.485115774138624,-3.6538374449915874,-4.511728450507655,-5.888682893022844,-3.5253532358555204,-2.305015114391879,-6.335475457046699,-2.001051889423145,-3.902032880120931,-1.7325699435970567,-3.2665145949455985,-3.525886836082444,-3.7214712175422684,-3.0990406086289872,-3.9346905005948183,-2.9732482588329217,-1.910958138803171,-3.5660253130014308,-4.316246008025917,-2.863531755018756,0.6536022822548779,0.6467818433572395,0.6313204885529187,0.6521461306074645,0.5731110769590891,0.521160561037447,0.5577764051724555,0.6062361748383952,0.6335412125445965,0.5781407898123552,0.5504875962789543,0.5821683984990451,0.11881760817307692,0.007834451794039403,neutral
-407.91821364545757,52.60206669184749,-2.057219293120104,9.306407474784805,2.2696723819031464,-1.9286252339068533,-5.804287231341078,-10.598532339526624,-14.35748670082215,-7.631034201222967,-3.164752742584615,-5.673204836884941,-3.2609385598988787,-6.797826553332778,-5.243136700758925,-1.854624203406715,-7.966463240677532,-5.112513508473521,-2.7545307325531305,-2.9339242760011524,-7.210022906559039,-4.123604531999305,-3.5263555361918812,-4.741864637252404,-3.9230904192081817,-2.857404511102212,-6.535793405522801,-2.12463072028016,-3.949480447067904,-0.7841917970902882,-3.8435883440463785,-3.6375914128600924,-4.205137817076135,-3.612860278030509,-3.837887490566574,-2.113881577700769,-1.718612334508296,-3.162748445084768,-3.9621361021387864,-3.81685022678166,0.3997856028742158,0.3857909756855434,0.375036389572781,0.3852855504516134,0.36373428657532675,0.3535670552849704,0.3537067248574632,0.39103985542922504,0.37788445255107467,0.35241714527100837,0.3495538988116662,0.3500572946064115,0.06580904447115385,0.0062134123966797235,neutral
-341.46627792089396,66.75024488379928,-2.892040892114963,11.262281074995904,3.2156366097886706,-3.958751045249012,-9.929558118332158,-10.333592710198939,-17.20847149506033,-11.280349971200044,-4.237665159743745,-8.918591003280383,-4.439867819719358,-8.776395682841766,-5.209584888010889,-2.6753713439421647,-10.787200382865457,-5.005491669066746,-5.367535747332152,-5.545905836695385,-9.01777722983061,-4.863770251465973,-6.358778596075848,-7.998889771082157,-4.81297911527063,-3.996395038080146,-8.130450502772687,-0.6932207212284104,-5.766462994734959,-1.3693102482257997,-4.341193920243105,-3.1581893638419545,-3.8619103801732697,-4.339235906512135,-3.448865791762857,-1.7457633557967536,-3.2559361473840793,-3.0725755390806007,-5.4919427517315365,-4.051580432993585,0.4174368090280682,0.4686478581670587,0.5255402345467346,0.49797494894953287,0.47923172739396275,0.46827802133672103,0.44798796839830374,0.4728591056223688,0.484620527570974,0.4918372670521801,0.5237967176757681,0.4902348643077731,0.08988506610576923,0.014328589670900817,calm
-338.8997920117368,74.87129028283059,-2.4545764270572974,8.327985248844357,6.719990618785898,-3.5798136923401005,-10.031609742012431,-10.208496370122074,-14.43255020793869,-10.103195701178999,-2.095072760430586,-6.9203683550449,-4.184095426383271,-7.961310486223388,-5.54728723722112,-2.175808630784139,-9.247161888682301,-5.7880815657341556,-3.9842643029768605,-4.568522546231533,-8.230089672619169,-4.652816170360504,-5.456356763498867,-7.32897152918604,-4.608624169735316,-3.5439949916627915,-7.075306270106242,-1.2726642970969293,-4.945148766332354,-1.123778697118283,-5.320172690294411,-3.9393954360406993,-5.112502814838236,-5.038510487228165,-5.348532752878035,-2.2271039355373614,-3.196543841456538,-4.253221086414902,-5.66924591750306,-5.357761450065136,0.41375637390823494,0.44871763624889144,0.46163988703250874,0.5046751347883636,0.43044302347542107,0.41590645815624944,0.4467517630991986,0.4662473889948521,0.45382573648364594,0.41678033373193324,0.45100733873536997,0.4070303695812869,0.06812650240384616,0.010270166386296391,calm
-348.7733944747239,70.20766576216191,-4.306417741826319,10.500249467576172,1.6540812634653097,-1.8215903226920815,-6.64662751815251,-10.525821759813605,-14.931492127966665,-10.017337685184202,-2.301417037622759,-6.333302269714925,-2.630985505877895,-9.367310125859897,-2.2314283611393253,-3.641859110942325,-10.902915559814668,-6.4875307074020725,-3.314412833391407,-5.043733982052883,-9.693270200690975,-4.40515636255747,-5.1581116129187174,-6.098619714206019,-4.865252398385523,-3.2187866843183013,-8.144021673868858,-0.6559718459775001,-6.011748801902461,-1.5539553610270755,-4.9470748914667775,-3.2158268354398616,-4.030035373865945,-4.58055991584189,-5.762509926513471,-3.130062355188269,-3.2044405947127985,-3.2962499572708532,-6.064580410776644,-3.809682532835098,0.4495817329795181,0.502047748793688,0.5364170461641318,0.5576417895806451,0.5175001510758148,0.46869021126412097,0.45590168510089674,0.4711617189593252,0.487886706495207,0.491764553710423,0.4776887418827102,0.4741992879263662,0.10013897235576923,0.013351252380537528,calm
-374.28470215661565,72.81329432766212,-5.021274101892561,9.69681267244658,3.712287479803508,-3.337256048253777,-6.220699253385646,-11.87420382061672,-14.079387329132413,-9.889816677648808,-3.4842566820340326,-6.49948697146945,-2.5508797767548965,-8.358490680116937,-3.3058132823267736,-2.4606749158327204,-9.958773956844759,-5.661998939872117,-3.8573889983134557,-4.321131470269599,-10.211285911734391,-4.4454575206049265,-5.2504210049616535,-4.753918572728482,-5.176630145063893,-2.7594206996714976,-6.86531311251969,-1.4946130346593438,-5.9903621750265215,-1.3844484042799938,-5.339572334529075,-3.199240412829204,-3.6319500562839226,-3.9618624203072543,-4.911848681116709,-2.8782890822669933,-2.125120155157526,-3.359094484746681,-4.565061748585542,-4.352718351217664,0.4572705954036452,0.5020679095983382,0.5290892204129681,0.5412954631102286,0.5185328386655014,0.46366882447698327,0.45504912926272845,0.476070295230348,0.5156142437323973,0.5328571600128175,0.5188250839235565,0.5130783772354769,0.09402418870192308,0.009457900449888906,calm
-319.7411322155974,79.48682202952897,-1.4783552918054799,10.75469526764582,5.26658015926672,-3.74875822565244,-10.401901202106492,-9.148367126261284,-13.182915184010014,-10.754239354188657,-2.6588748763331567,-5.054259284996938,-5.090668100090285,-9.298363979257234,-4.223833710185123,-3.688775029294201,-6.394108736154951,-7.040725194295792,-4.123837923551404,-2.139191466441173,-11.827297720470373,-2.9725900159329917,-6.114964014271015,-7.427319551070286,-4.712878226520932,-3.1449625285275564,-6.084970058688921,-0.6627444359145553,-5.715258545681617,-1.3389350649334253,-5.773194308443438,-4.832526574460089,-5.84577535474707,-3.597734619157098,-7.494501579798346,-0.25726681956419933,-4.3580805824510245,-3.6965639409482973,-6.556253415902273,-4.469063073094802,0.6522238089634107,0.7001986930516189,0.7701962221077785,0.7563710741985109,0.7171560118009376,0.683567745022297,0.6620950285748274,0.715515999955226,0.6988661614043373,0.6452393800272811,0.664951848061696,0.7094604700254804,0.111669921875,0.011246154435808365,calm
-281.83673921833775,83.69352158002921,-6.404969791642507,10.07725230869021,3.4727747541796874,-4.932789648115415,-11.685394346575501,-13.48043435111546,-15.839566285843347,-11.643162973540193,-1.4969321134771458,-6.891215167663171,-6.274397965374953,-10.828630527336848,-4.547946254453508,-5.425594037644533,-9.46369456370491,-6.885873016103639,-4.745962244033791,-3.8627520189383513,-11.847987604098646,-3.0168292268155876,-5.914207425685722,-7.679180509408779,-5.810299113326175,-4.47267716963132,-8.362063869930209,-1.952924362232702,-5.618740764839346,-2.682001583134592,-6.968801428201942,-4.771737509650463,-7.0668708071683835,-5.1190798988991,-8.214736649592275,-2.5733515236566875,-3.795824622980109,-3.8773534107742647,-6.734703156901266,-5.283169327515954,0.5382493992192973,0.5453575907232058,0.5658298058267393,0.6094599155774364,0.5791751039085248,0.5538783920932309,0.5612104016294565,0.5996208748507615,0.5610055787943474,0.5130610030094492,0.507832312566521,0.498908865332562,0.11071965144230769,0.011073572865152313,calm
